grupo,idioma,linea,etiqueta,href_literal,url_absoluta,texto,idioma_destino,categoria_destino,destino_en_alcance,fragmento_local_resuelto,atributos_y_contexto
HOME,en,6,link,/fonts/great-vibes-rsb-subset.woff2,https://rentalscooterbarcelona.com/fonts/great-vibes-rsb-subset.woff2,,en,fonts,NO,AUSENTE,"{""tag"":""link"",""line"":6,""as"":""font"",""crossorigin"":"""",""href"":""/fonts/great-vibes-rsb-subset.woff2"",""rel"":""preload"",""type"":""font/woff2"",""raw_href"":""/fonts/great-vibes-rsb-subset.woff2"",""absolute_url"":""https://rentalscooterbarcelona.com/fonts/great-vibes-rsb-subset.woff2"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""fonts"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,9,link,/site.webmanifest,https://rentalscooterbarcelona.com/site.webmanifest,,en,site.webmanifest,NO,AUSENTE,"{""tag"":""link"",""line"":9,""rel"":""manifest"",""href"":""/site.webmanifest"",""raw_href"":""/site.webmanifest"",""absolute_url"":""https://rentalscooterbarcelona.com/site.webmanifest"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""site.webmanifest"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,16,link,https://rentalscooterbarcelona.com/,https://rentalscooterbarcelona.com/,,en,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/"",""rel"":""canonical"",""raw_href"":""https://rentalscooterbarcelona.com/"",""absolute_url"":""https://rentalscooterbarcelona.com/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/,https://rentalscooterbarcelona.com/,,en,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/"",""hreflang"":""x-default"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/"",""absolute_url"":""https://rentalscooterbarcelona.com/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/,https://rentalscooterbarcelona.com/,,en,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/"",""hreflang"":""en"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/"",""absolute_url"":""https://rentalscooterbarcelona.com/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/es/,https://rentalscooterbarcelona.com/es/,,es,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/es/"",""hreflang"":""es"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/es/"",""absolute_url"":""https://rentalscooterbarcelona.com/es/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""es"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/fr/,https://rentalscooterbarcelona.com/fr/,,fr,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/fr/"",""hreflang"":""fr"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/fr/"",""absolute_url"":""https://rentalscooterbarcelona.com/fr/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""fr"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/it/,https://rentalscooterbarcelona.com/it/,,it,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/it/"",""hreflang"":""it"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/it/"",""absolute_url"":""https://rentalscooterbarcelona.com/it/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""it"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/de/,https://rentalscooterbarcelona.com/de/,,de,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/de/"",""hreflang"":""de"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/de/"",""absolute_url"":""https://rentalscooterbarcelona.com/de/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""de"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/nl/,https://rentalscooterbarcelona.com/nl/,,nl,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/nl/"",""hreflang"":""nl"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/nl/"",""absolute_url"":""https://rentalscooterbarcelona.com/nl/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""nl"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/pt/,https://rentalscooterbarcelona.com/pt/,,pt,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/pt/"",""hreflang"":""pt"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/pt/"",""absolute_url"":""https://rentalscooterbarcelona.com/pt/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""pt"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/cat/,https://rentalscooterbarcelona.com/cat/,,ca,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/cat/"",""hreflang"":""ca"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/cat/"",""absolute_url"":""https://rentalscooterbarcelona.com/cat/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""ca"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/sv/,https://rentalscooterbarcelona.com/sv/,,sv,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/sv/"",""hreflang"":""sv"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/sv/"",""absolute_url"":""https://rentalscooterbarcelona.com/sv/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""sv"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,16,link,https://rentalscooterbarcelona.com/pl/,https://rentalscooterbarcelona.com/pl/,,pl,HOME,SÍ,AUSENTE,"{""tag"":""link"",""line"":16,""href"":""https://rentalscooterbarcelona.com/pl/"",""hreflang"":""pl"",""rel"":""alternate"",""raw_href"":""https://rentalscooterbarcelona.com/pl/"",""absolute_url"":""https://rentalscooterbarcelona.com/pl/"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""pl"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,48,link,https://rentalscooterbarcelona.com/favicon.ico,https://rentalscooterbarcelona.com/favicon.ico,,en,favicon.ico,NO,AUSENTE,"{""tag"":""link"",""line"":48,""href"":""https://rentalscooterbarcelona.com/favicon.ico"",""rel"":""icon"",""sizes"":""any"",""raw_href"":""https://rentalscooterbarcelona.com/favicon.ico"",""absolute_url"":""https://rentalscooterbarcelona.com/favicon.ico"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""favicon.ico"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,49,link,https://rentalscooterbarcelona.com/favicon-16x16.png,https://rentalscooterbarcelona.com/favicon-16x16.png,,en,favicon-16x16.png,NO,AUSENTE,"{""tag"":""link"",""line"":49,""href"":""https://rentalscooterbarcelona.com/favicon-16x16.png"",""rel"":""icon"",""sizes"":""16x16"",""type"":""image/png"",""raw_href"":""https://rentalscooterbarcelona.com/favicon-16x16.png"",""absolute_url"":""https://rentalscooterbarcelona.com/favicon-16x16.png"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""favicon-16x16.png"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,50,link,https://rentalscooterbarcelona.com/favicon-32x32.png,https://rentalscooterbarcelona.com/favicon-32x32.png,,en,favicon-32x32.png,NO,AUSENTE,"{""tag"":""link"",""line"":50,""href"":""https://rentalscooterbarcelona.com/favicon-32x32.png"",""rel"":""icon"",""sizes"":""32x32"",""type"":""image/png"",""raw_href"":""https://rentalscooterbarcelona.com/favicon-32x32.png"",""absolute_url"":""https://rentalscooterbarcelona.com/favicon-32x32.png"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""favicon-32x32.png"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,51,link,https://rentalscooterbarcelona.com/favicon-192x192.png,https://rentalscooterbarcelona.com/favicon-192x192.png,,en,favicon-192x192.png,NO,AUSENTE,"{""tag"":""link"",""line"":51,""href"":""https://rentalscooterbarcelona.com/favicon-192x192.png"",""rel"":""icon"",""sizes"":""192x192"",""type"":""image/png"",""raw_href"":""https://rentalscooterbarcelona.com/favicon-192x192.png"",""absolute_url"":""https://rentalscooterbarcelona.com/favicon-192x192.png"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""favicon-192x192.png"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,52,link,https://rentalscooterbarcelona.com/favicon-512x512.png,https://rentalscooterbarcelona.com/favicon-512x512.png,,en,favicon-512x512.png,NO,AUSENTE,"{""tag"":""link"",""line"":52,""href"":""https://rentalscooterbarcelona.com/favicon-512x512.png"",""rel"":""icon"",""sizes"":""512x512"",""type"":""image/png"",""raw_href"":""https://rentalscooterbarcelona.com/favicon-512x512.png"",""absolute_url"":""https://rentalscooterbarcelona.com/favicon-512x512.png"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""favicon-512x512.png"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,53,link,https://rentalscooterbarcelona.com/apple-touch-icon.png,https://rentalscooterbarcelona.com/apple-touch-icon.png,,en,apple-touch-icon.png,NO,AUSENTE,"{""tag"":""link"",""line"":53,""href"":""https://rentalscooterbarcelona.com/apple-touch-icon.png"",""rel"":""apple-touch-icon"",""raw_href"":""https://rentalscooterbarcelona.com/apple-touch-icon.png"",""absolute_url"":""https://rentalscooterbarcelona.com/apple-touch-icon.png"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""apple-touch-icon.png"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,56,link,https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp,https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp,,en,images,NO,AUSENTE,"{""tag"":""link"",""line"":56,""as"":""image"",""fetchpriority"":""high"",""href"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp"",""imagesizes"":""100vw"",""imagesrcset"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-480-v1.webp 480w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-720-v2.webp 720w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-800-v1.webp 800w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp 1600w"",""rel"":""preload"",""raw_href"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp"",""absolute_url"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""images"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,60,link,https://rentalscooterbarcelona.com/stylesHome.css?v=20260813,https://rentalscooterbarcelona.com/stylesHome.css?v=20260813,,en,stylesHome.css,NO,AUSENTE,"{""tag"":""link"",""line"":60,""as"":""style"",""href"":""https://rentalscooterbarcelona.com/stylesHome.css?v=20260813"",""onload"":""this.onload=null;this.rel='stylesheet'"",""rel"":""preload"",""raw_href"":""https://rentalscooterbarcelona.com/stylesHome.css?v=20260813"",""absolute_url"":""https://rentalscooterbarcelona.com/stylesHome.css?v=20260813"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""stylesHome.css"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,61,link,https://rentalscooterbarcelona.com/stylesHome.css?v=20260813,https://rentalscooterbarcelona.com/stylesHome.css?v=20260813,,en,stylesHome.css,NO,AUSENTE,"{""tag"":""link"",""line"":61,""href"":""https://rentalscooterbarcelona.com/stylesHome.css?v=20260813"",""rel"":""stylesheet"",""raw_href"":""https://rentalscooterbarcelona.com/stylesHome.css?v=20260813"",""absolute_url"":""https://rentalscooterbarcelona.com/stylesHome.css?v=20260813"",""text"":"""",""accessible_name_static"":null,""internal"":true,""ancestors"":[],""destination_language"":""en"",""destination_category"":""stylesHome.css"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,608,a,https://rentalscooterbarcelona.com/,https://rentalscooterbarcelona.com/,RSB RENTAL SCOOTER BARCELONA,en,HOME,SÍ,AUSENTE,"{""tag"":""a"",""line"":608,""class"":""brand"",""href"":""https://rentalscooterbarcelona.com/"",""raw_href"":""https://rentalscooterbarcelona.com/"",""absolute_url"":""https://rentalscooterbarcelona.com/"",""text"":""RSB RENTAL SCOOTER BARCELONA"",""accessible_name_static"":""RSB RENTAL SCOOTER BARCELONA"",""internal"":true,""ancestors"":[{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""en"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,616,a,https://rentalscooterbarcelona.com/,https://rentalscooterbarcelona.com/,Home,en,HOME,SÍ,AUSENTE,"{""tag"":""a"",""line"":616,""class"":""nav-link"",""href"":""https://rentalscooterbarcelona.com/"",""raw_href"":""https://rentalscooterbarcelona.com/"",""absolute_url"":""https://rentalscooterbarcelona.com/"",""text"":""Home"",""accessible_name_static"":""Home"",""internal"":true,""ancestors"":[{""tag"":""nav"",""id"":null,""class"":""nav-desktop""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""en"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,617,a,https://rentalscooterbarcelona.com/Prices/,https://rentalscooterbarcelona.com/Prices/,Prices,en,Prices,SÍ,AUSENTE,"{""tag"":""a"",""line"":617,""class"":""nav-link"",""href"":""https://rentalscooterbarcelona.com/Prices/"",""raw_href"":""https://rentalscooterbarcelona.com/Prices/"",""absolute_url"":""https://rentalscooterbarcelona.com/Prices/"",""text"":""Prices"",""accessible_name_static"":""Prices"",""internal"":true,""ancestors"":[{""tag"":""nav"",""id"":null,""class"":""nav-desktop""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""en"",""destination_category"":""Prices"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,618,a,https://rentalscooterbarcelona.com/scooter/,https://rentalscooterbarcelona.com/scooter/,Scooter,en,scooter,SÍ,AUSENTE,"{""tag"":""a"",""line"":618,""class"":""nav-link"",""href"":""https://rentalscooterbarcelona.com/scooter/"",""raw_href"":""https://rentalscooterbarcelona.com/scooter/"",""absolute_url"":""https://rentalscooterbarcelona.com/scooter/"",""text"":""Scooter"",""accessible_name_static"":""Scooter"",""internal"":true,""ancestors"":[{""tag"":""nav"",""id"":null,""class"":""nav-desktop""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""en"",""destination_category"":""scooter"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,619,a,https://rentalscooterbarcelona.com/rollerblades/,https://rentalscooterbarcelona.com/rollerblades/,Inline Skates,en,rollerblades,SÍ,AUSENTE,"{""tag"":""a"",""line"":619,""class"":""nav-link"",""href"":""https://rentalscooterbarcelona.com/rollerblades/"",""raw_href"":""https://rentalscooterbarcelona.com/rollerblades/"",""absolute_url"":""https://rentalscooterbarcelona.com/rollerblades/"",""text"":""Inline Skates"",""accessible_name_static"":""Inline Skates"",""internal"":true,""ancestors"":[{""tag"":""nav"",""id"":null,""class"":""nav-desktop""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""en"",""destination_category"":""rollerblades"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,620,a,https://rentalscooterbarcelona.com/blog/,https://rentalscooterbarcelona.com/blog/,Blog,en,BLOG HOME,NO,AUSENTE,"{""tag"":""a"",""line"":620,""class"":""nav-link"",""href"":""https://rentalscooterbarcelona.com/blog/"",""raw_href"":""https://rentalscooterbarcelona.com/blog/"",""absolute_url"":""https://rentalscooterbarcelona.com/blog/"",""text"":""Blog"",""accessible_name_static"":""Blog"",""internal"":true,""ancestors"":[{""tag"":""nav"",""id"":null,""class"":""nav-desktop""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""en"",""destination_category"":""BLOG HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,621,a,https://rentalscooterbarcelona.com/location-contact/,https://rentalscooterbarcelona.com/location-contact/,Location & Contact,en,location-contact,NO,AUSENTE,"{""tag"":""a"",""line"":621,""class"":""nav-link"",""href"":""https://rentalscooterbarcelona.com/location-contact/"",""raw_href"":""https://rentalscooterbarcelona.com/location-contact/"",""absolute_url"":""https://rentalscooterbarcelona.com/location-contact/"",""text"":""Location & Contact"",""accessible_name_static"":""Location & Contact"",""internal"":true,""ancestors"":[{""tag"":""nav"",""id"":null,""class"":""nav-desktop""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""en"",""destination_category"":""location-contact"",""same_page_fragment_exists"":null,""destination_in_scope"":false}"
HOME,en,631,a,https://rentalscooterbarcelona.com/,https://rentalscooterbarcelona.com/,en English,en,HOME,SÍ,AUSENTE,"{""tag"":""a"",""line"":631,""class"":""dropdown-item"",""href"":""https://rentalscooterbarcelona.com/"",""raw_href"":""https://rentalscooterbarcelona.com/"",""absolute_url"":""https://rentalscooterbarcelona.com/"",""text"":""en English"",""accessible_name_static"":""en English"",""internal"":true,""ancestors"":[{""tag"":""div"",""id"":""langMenu"",""class"":""dropdown-menu""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""en"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,631,a,https://rentalscooterbarcelona.com/es/,https://rentalscooterbarcelona.com/es/,es Spanish,es,HOME,SÍ,AUSENTE,"{""tag"":""a"",""line"":631,""class"":""dropdown-item"",""href"":""https://rentalscooterbarcelona.com/es/"",""raw_href"":""https://rentalscooterbarcelona.com/es/"",""absolute_url"":""https://rentalscooterbarcelona.com/es/"",""text"":""es Spanish"",""accessible_name_static"":""es Spanish"",""internal"":true,""ancestors"":[{""tag"":""div"",""id"":""langMenu"",""class"":""dropdown-menu""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""es"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,631,a,https://rentalscooterbarcelona.com/fr/,https://rentalscooterbarcelona.com/fr/,fr French,fr,HOME,SÍ,AUSENTE,"{""tag"":""a"",""line"":631,""class"":""dropdown-item"",""href"":""https://rentalscooterbarcelona.com/fr/"",""raw_href"":""https://rentalscooterbarcelona.com/fr/"",""absolute_url"":""https://rentalscooterbarcelona.com/fr/"",""text"":""fr French"",""accessible_name_static"":""fr French"",""internal"":true,""ancestors"":[{""tag"":""div"",""id"":""langMenu"",""class"":""dropdown-menu""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""fr"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
HOME,en,631,a,https://rentalscooterbarcelona.com/it/,https://rentalscooterbarcelona.com/it/,it Italian,it,HOME,SÍ,AUSENTE,"{""tag"":""a"",""line"":631,""class"":""dropdown-item"",""href"":""https://rentalscooterbarcelona.com/it/"",""raw_href"":""https://rentalscooterbarcelona.com/it/"",""absolute_url"":""https://rentalscooterbarcelona.com/it/"",""text"":""it Italian"",""accessible_name_static"":""it Italian"",""internal"":true,""ancestors"":[{""tag"":""div"",""id"":""langMenu"",""class"":""dropdown-menu""},{""tag"":""header"",""id"":""siteHeader"",""class"":""site-header""}],""destination_language"":""it"",""destination_category"":""HOME"",""same_page_fragment_exists"":null,""destination_in_scope"":true}"
