grupo,idioma,etiqueta,apertura_textual,cierre_textual,apertura_token,cierre_token,parser
HOME,en,html,1,1,1,1,1
HOME,en,head,1,1,1,1,1
HOME,en,body,1,1,1,1,1
HOME,en,header,1,1,1,1,1
HOME,en,main,1,1,1,1,1
HOME,en,nav,2,2,2,2,2
HOME,en,section,7,7,7,7,7
HOME,en,article,9,9,9,9,9
HOME,en,footer,1,1,1,1,1
HOME,en,form,0,0,0,0,0
HOME,en,table,0,0,0,0,0
HOME,es,html,1,1,1,1,1
HOME,es,head,1,1,1,1,1
HOME,es,body,1,1,1,1,1
HOME,es,header,1,1,1,1,1
HOME,es,main,1,1,1,1,1
HOME,es,nav,2,2,2,2,2
HOME,es,section,7,7,7,7,7
HOME,es,article,9,9,9,9,9
HOME,es,footer,1,1,1,1,1
HOME,es,form,0,0,0,0,0
HOME,es,table,0,0,0,0,0
HOME,fr,html,1,1,1,1,1
HOME,fr,head,1,1,1,1,1
HOME,fr,body,1,1,1,1,1
HOME,fr,header,1,1,1,1,1
HOME,fr,main,1,1,1,1,1
HOME,fr,nav,2,2,2,2,2
HOME,fr,section,7,7,7,7,7
HOME,fr,article,9,9,9,9,9
HOME,fr,footer,1,1,1,1,1
HOME,fr,form,0,0,0,0,0
HOME,fr,table,0,0,0,0,0
HOME,it,html,1,1,1,1,1
HOME,it,head,1,1,1,1,1
HOME,it,body,1,1,1,1,1
HOME,it,header,1,1,1,1,1
HOME,it,main,1,1,1,1,1
HOME,it,nav,2,2,2,2,2
HOME,it,section,7,7,7,7,7
HOME,it,article,9,9,9,9,9
HOME,it,footer,1,1,1,1,1
HOME,it,form,0,0,0,0,0
HOME,it,table,0,0,0,0,0
HOME,de,html,1,1,1,1,1
HOME,de,head,1,1,1,1,1
HOME,de,body,1,1,1,1,1
HOME,de,header,1,1,1,1,1
HOME,de,main,1,1,1,1,1
HOME,de,nav,2,2,2,2,2
HOME,de,section,7,7,7,7,7
HOME,de,article,9,9,9,9,9
HOME,de,footer,1,1,1,1,1
HOME,de,form,0,0,0,0,0
HOME,de,table,0,0,0,0,0
HOME,nl,html,1,1,1,1,1
HOME,nl,head,1,1,1,1,1
HOME,nl,body,1,1,1,1,1
HOME,nl,header,1,1,1,1,1
HOME,nl,main,1,1,1,1,1
HOME,nl,nav,2,2,2,2,2
HOME,nl,section,7,7,7,7,7
HOME,nl,article,9,9,9,9,9
HOME,nl,footer,1,1,1,1,1
HOME,nl,form,0,0,0,0,0
HOME,nl,table,0,0,0,0,0
HOME,pt,html,1,1,1,1,1
HOME,pt,head,1,1,1,1,1
HOME,pt,body,1,1,1,1,1
HOME,pt,header,1,1,1,1,1
HOME,pt,main,1,1,1,1,1
HOME,pt,nav,2,2,2,2,2
HOME,pt,section,7,7,7,7,7
HOME,pt,article,9,9,9,9,9
HOME,pt,footer,1,1,1,1,1
HOME,pt,form,0,0,0,0,0
HOME,pt,table,0,0,0,0,0
HOME,ca,html,1,1,1,1,1
HOME,ca,head,1,1,1,1,1
HOME,ca,body,1,1,1,1,1
HOME,ca,header,1,1,1,1,1
HOME,ca,main,1,1,1,1,1
HOME,ca,nav,2,2,2,2,2
HOME,ca,section,7,7,7,7,7
HOME,ca,article,9,9,9,9,9
HOME,ca,footer,1,1,1,1,1
HOME,ca,form,0,0,0,0,0
HOME,ca,table,0,0,0,0,0
HOME,sv,html,1,1,1,1,1
HOME,sv,head,1,1,1,1,1
HOME,sv,body,1,1,1,1,1
HOME,sv,header,1,1,1,1,1
HOME,sv,main,1,1,1,1,1
HOME,sv,nav,2,2,2,2,2
HOME,sv,section,7,7,7,7,7
HOME,sv,article,9,9,9,9,9
HOME,sv,footer,1,1,1,1,1
HOME,sv,form,0,0,0,0,0
HOME,sv,table,0,0,0,0,0
HOME,pl,html,1,1,1,1,1
HOME,pl,head,1,1,1,1,1
HOME,pl,body,1,1,1,1,1
HOME,pl,header,1,1,1,1,1
HOME,pl,main,1,1,1,1,1
HOME,pl,nav,2,2,2,2,2
HOME,pl,section,7,7,7,7,7
HOME,pl,article,9,9,9,9,9
HOME,pl,footer,1,1,1,1,1
HOME,pl,form,0,0,0,0,0
HOME,pl,table,0,0,0,0,0
PRICES,en,html,1,1,1,1,1
PRICES,en,head,1,1,1,1,1
PRICES,en,body,1,1,1,1,1
PRICES,en,header,1,1,1,1,1
PRICES,en,main,1,1,1,1,1
PRICES,en,nav,2,2,2,2,2
PRICES,en,section,12,12,12,12,12
PRICES,en,article,8,8,8,8,8
PRICES,en,footer,1,1,1,1,1
PRICES,en,form,0,0,0,0,0
PRICES,en,table,0,0,0,0,0
PRICES,es,html,1,1,1,1,1
PRICES,es,head,1,1,1,1,1
PRICES,es,body,1,1,1,1,1
PRICES,es,header,1,1,1,1,1
PRICES,es,main,1,1,1,1,1
PRICES,es,nav,2,2,2,2,2
PRICES,es,section,12,12,12,12,12
PRICES,es,article,8,8,8,8,8
PRICES,es,footer,1,1,1,1,1
PRICES,es,form,0,0,0,0,0
PRICES,es,table,0,0,0,0,0
PRICES,fr,html,1,1,1,1,1
PRICES,fr,head,1,1,1,1,1
PRICES,fr,body,1,1,1,1,1
PRICES,fr,header,1,1,1,1,1
PRICES,fr,main,1,1,1,1,1
PRICES,fr,nav,2,2,2,2,2
PRICES,fr,section,12,12,12,12,12
PRICES,fr,article,8,8,8,8,8
PRICES,fr,footer,1,1,1,1,1
PRICES,fr,form,0,0,0,0,0
PRICES,fr,table,0,0,0,0,0
PRICES,it,html,1,1,1,1,1
PRICES,it,head,1,1,1,1,1
PRICES,it,body,1,1,1,1,1
PRICES,it,header,1,1,1,1,1
PRICES,it,main,1,1,1,1,1
PRICES,it,nav,2,2,2,2,2
PRICES,it,section,12,12,12,12,12
PRICES,it,article,8,8,8,8,8
PRICES,it,footer,1,1,1,1,1
