grupo,idioma,numero,linea,pregunta_visible,pregunta_schema,respuesta_visible,respuesta_schema,pregunta_coincide,respuesta_coincide
HOME,en,1,1071,Where is RSB Rental Scooter Barcelona located?,Where is RSB Rental Scooter Barcelona located?,"We are in Vila Olímpica, at Carrer de Salvador Espriu, 63, 08005 Barcelona, near Port Olímpic and Barceloneta Beach.","We are in Vila Olímpica, at Carrer de Salvador Espriu, 63, 08005 Barcelona, near Port Olímpic and Barceloneta Beach.",SÍ,SÍ
HOME,en,2,1080,Do you offer free hotel delivery for scooter rentals?,Do you offer free hotel delivery for scooter rentals?,Yes. FREE scooter hotel delivery is included for 3+ day rentals in Barcelona. Contact us to confirm availability.,Yes. FREE scooter hotel delivery is included for 3+ day rentals in Barcelona. Contact us to confirm availability.,SÍ,SÍ
HOME,en,3,1089,Can I leave my luggage or personal items at the shop while I rent?,Can I leave my luggage or personal items at the shop while I rent?,"Yes. Free storage for luggage, shoes, jackets and backpacks is available in our supervised shop.","Yes. Free storage for luggage, shoes, jackets and backpacks is available in our supervised shop.",SÍ,SÍ
HOME,en,4,1098,"Do inline skates, bikes, roller skates, skateboards and longboards require a deposit?","Do inline skates, bikes, roller skates, skateboards and longboards require a deposit?",No. These rentals do not require a deposit. You only need a valid ID.,No. These rentals do not require a deposit. You only need a valid ID.,SÍ,SÍ
HOME,en,5,1107,Do I need a driving licence to rent a scooter in Barcelona?,Do I need a driving licence to rent a scooter in Barcelona?,"Yes. A valid driving licence is required. For 125cc scooters, you need a category B driving licence held for at least 3 years, or the corresponding motorcycle licence.","Yes. A valid driving licence is required. For 125cc scooters, you need a category B driving licence held for at least 3 years, or the corresponding motorcycle licence.",SÍ,SÍ
HOME,en,6,1116,Are helmets and protective gear included in the price?,Are helmets and protective gear included in the price?,"Yes. Scooter rentals include two helmets. Bike rentals include a child helmet. Inline skate rentals, roller skate rentals, skateboard rentals and longboard rentals include a child helmet, wrist guards, knee pads and elbow pads.","Yes. Scooter rentals include two helmets. Bike rentals include a child helmet. Inline skate rentals, roller skate rentals, skateboard rentals and longboard rentals include a child helmet, wrist guards, knee pads and elbow pads.",SÍ,SÍ
HOME,en,7,1125,Where are the best places to use inline skates or scooters near the shop?,Where are the best places to use inline skates or scooters near the shop?,"Vila Olímpica, Port Olímpic and Barceloneta Beach offer some of the best flat routes near our shop.","Vila Olímpica, Port Olímpic and Barceloneta Beach offer some of the best flat routes near our shop.",SÍ,SÍ
HOME,en,8,1134,Can I return the scooter outside shop opening hours?,Can I return the scooter outside shop opening hours?,Yes. We offer after-hours scooter returns. Contact us in advance.,Yes. We offer after-hours scooter returns. Contact us in advance.,SÍ,SÍ
HOME,en,9,1142,What payment methods do you accept?,What payment methods do you accept?,We accept card payments. PayPal is also available for online payments.,We accept card payments. PayPal is also available for online payments.,SÍ,SÍ
HOME,es,1,1068,¿Dónde está RSB Rental Scooter Barcelona?,¿Dónde está RSB Rental Scooter Barcelona?,"Estamos en Vila Olímpica del Poblenou, en Carrer de Salvador Espriu, 63, 08005 Barcelona, cerca de Port Olímpic y la playa de la Barceloneta.","Estamos en Vila Olímpica del Poblenou, en Carrer de Salvador Espriu, 63, 08005 Barcelona, cerca de Port Olímpic y la playa de la Barceloneta.",SÍ,SÍ
HOME,es,2,1077,¿Ofrecéis entrega gratuita del scooter en el hotel?,¿Ofrecéis entrega gratuita del scooter en el hotel?,Sí. La entrega gratuita del scooter en el hotel está incluida para alquileres de 3 días o más en Barcelona. Contáctanos para confirmar disponibilidad.,Sí. La entrega gratuita del scooter en el hotel está incluida para alquileres de 3 días o más en Barcelona. Contáctanos para confirmar disponibilidad.,SÍ,SÍ
