grupo,idioma,encabezado_completo
HOME,en,"{""tag"":""h1"",""line"":703,""text"":""Scooter and Inline Skate Rental Barcelona""}"
HOME,en,"{""tag"":""h2"",""line"":727,""text"":""Scooter and inline skate rental in Barcelona""}"
HOME,en,"{""tag"":""h2"",""line"":754,""text"":""Scooter rental in Barcelona""}"
HOME,en,"{""tag"":""h2"",""line"":783,""text"":""Inline skate rental in Barcelona""}"
HOME,en,"{""tag"":""h3"",""line"":813,""text"":""Bike rental in Barcelona""}"
HOME,en,"{""tag"":""h3"",""line"":841,""text"":""Roller skate rental in Barcelona""}"
HOME,en,"{""tag"":""h3"",""line"":869,""text"":""Skateboard rental in Barcelona""}"
HOME,en,"{""tag"":""h3"",""line"":897,""text"":""Longboard rental in Barcelona""}"
HOME,en,"{""tag"":""h2"",""line"":929,""text"":""View Prices & Book""}"
HOME,en,"{""tag"":""h2"",""line"":1016,""text"":""Everything You Need Included""}"
HOME,en,"{""tag"":""h2"",""line"":1067,""text"":""FAQ About Scooter and Inline Skate Rental in Barcelona""}"
HOME,en,"{""tag"":""h3"",""line"":1072,""text"":""Where is RSB Rental Scooter Barcelona located?""}"
HOME,en,"{""tag"":""h3"",""line"":1081,""text"":""Do you offer free hotel delivery for scooter rentals?""}"
HOME,en,"{""tag"":""h3"",""line"":1090,""text"":""Can I leave my luggage or personal items at the shop while I rent?""}"
HOME,en,"{""tag"":""h3"",""line"":1099,""text"":""Do inline skates, bikes, roller skates, skateboards and longboards require a deposit?""}"
HOME,en,"{""tag"":""h3"",""line"":1108,""text"":""Do I need a driving licence to rent a scooter in Barcelona?""}"
HOME,en,"{""tag"":""h3"",""line"":1117,""text"":""Are helmets and protective gear included in the price?""}"
HOME,en,"{""tag"":""h3"",""line"":1126,""text"":""Where are the best places to use inline skates or scooters near the shop?""}"
HOME,en,"{""tag"":""h3"",""line"":1135,""text"":""Can I return the scooter outside shop opening hours?""}"
HOME,en,"{""tag"":""h3"",""line"":1143,""text"":""What payment methods do you accept?""}"
HOME,en,"{""tag"":""h2"",""line"":1175,""text"":""Inside Our Shop in Vila Olímpica""}"
HOME,en,"{""tag"":""h2"",""line"":1196,""text"":""Opening hours and practical information""}"
HOME,en,"{""tag"":""h2"",""line"":1203,""text"":""What Our Customers Say""}"
HOME,en,"{""tag"":""h3"",""line"":1293,""text"":""Quick Links""}"
HOME,en,"{""tag"":""h3"",""line"":1302,""text"":""Services""}"
HOME,en,"{""tag"":""h3"",""line"":1306,""text"":""Contact""}"
HOME,es,"{""tag"":""h1"",""line"":700,""text"":""Alquiler de scooter y patines en línea en Barcelona""}"
HOME,es,"{""tag"":""h2"",""line"":724,""text"":""Alquiler de scooter y patines en línea en Barcelona""}"
HOME,es,"{""tag"":""h2"",""line"":751,""text"":""Alquiler de scooter en Barcelona""}"
HOME,es,"{""tag"":""h2"",""line"":780,""text"":""Alquiler de patines en línea en Barcelona""}"
HOME,es,"{""tag"":""h3"",""line"":810,""text"":""Alquiler de bicicletas en Barcelona""}"
HOME,es,"{""tag"":""h3"",""line"":838,""text"":""Alquiler de patines de 4 ruedas en Barcelona""}"
HOME,es,"{""tag"":""h3"",""line"":866,""text"":""Alquiler de skateboard en Barcelona""}"
HOME,es,"{""tag"":""h3"",""line"":894,""text"":""Alquiler de longboard en Barcelona""}"
HOME,es,"{""tag"":""h2"",""line"":926,""text"":""Ver precios y reservar""}"
HOME,es,"{""tag"":""h2"",""line"":1013,""text"":""Todo lo que necesitas, incluido""}"
HOME,es,"{""tag"":""h2"",""line"":1064,""text"":""FAQ sobre alquiler de scooter y patines en línea en Barcelona""}"
HOME,es,"{""tag"":""h3"",""line"":1069,""text"":""¿Dónde está RSB Rental Scooter Barcelona?""}"
HOME,es,"{""tag"":""h3"",""line"":1078,""text"":""¿Ofrecéis entrega gratuita del scooter en el hotel?""}"
HOME,es,"{""tag"":""h3"",""line"":1087,""text"":""¿Puedo dejar el equipaje o mis cosas en la tienda durante el alquiler?""}"
HOME,es,"{""tag"":""h3"",""line"":1096,""text"":""¿Los patines en línea, las bicicletas, los patines de 4 ruedas, los skateboards y los longboards requieren depósito?""}"
HOME,es,"{""tag"":""h3"",""line"":1105,""text"":""¿Necesito carnet de conducir para alquilar un scooter en Barcelona?""}"
HOME,es,"{""tag"":""h3"",""line"":1114,""text"":""¿Están incluidos los cascos y las protecciones en el precio?""}"
HOME,es,"{""tag"":""h3"",""line"":1123,""text"":""¿Cuáles son las mejores zonas para usar patines en línea o scooter cerca de la tienda?""}"
HOME,es,"{""tag"":""h3"",""line"":1132,""text"":""¿Es posible devolver el scooter fuera del horario de la tienda?""}"
HOME,es,"{""tag"":""h3"",""line"":1140,""text"":""¿Qué métodos de pago aceptáis?""}"
HOME,es,"{""tag"":""h2"",""line"":1172,""text"":""Dentro de nuestra tienda en Vila Olímpica""}"
HOME,es,"{""tag"":""h2"",""line"":1193,""text"":""Horario e información práctica""}"
HOME,es,"{""tag"":""h2"",""line"":1200,""text"":""Lo que dicen nuestros clientes""}"
HOME,es,"{""tag"":""h3"",""line"":1234,""text"":""Enlaces rápidos""}"
HOME,es,"{""tag"":""h3"",""line"":1243,""text"":""Servicios""}"
