grupo,idioma,linea,atributos_completos
HOME,en,609,"{""tag"":""img"",""line"":609,""alt"":""RSB Rental Scooter Barcelona logo"",""decoding"":""async"",""height"":""70"",""sizes"":""70px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-140-v1.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-88-v1.webp 88w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-140-v1.webp 140w"",""width"":""70""}"
HOME,en,692,"{""tag"":""img"",""line"":692,""alt"":""Group enjoying scooter, inline skates and bike rental near Barceloneta Beach and Vila Olímpica in Barcelona"",""class"":""zoom"",""decoding"":""async"",""fetchpriority"":""high"",""height"":""900"",""sizes"":""100vw"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-480-v1.webp 480w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-720-v2.webp 720w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-800-v1.webp 800w, https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp 1600w"",""width"":""1600""}"
HOME,en,756,"{""tag"":""img"",""line"":756,""alt"":""Scooter for rent at RSB in Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""936"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-scooter-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-scooter-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-scooter-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,en,787,"{""tag"":""img"",""line"":787,""alt"":""Inline skates for rent at RSB in Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""533"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-inline-skates-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-inline-skates-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,en,815,"{""tag"":""img"",""line"":815,""alt"":""City bike for rent at RSB in Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""533"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-bike-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-bike-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-bike-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,en,843,"{""tag"":""img"",""line"":843,""alt"":""Roller skates for rent at RSB in Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""533"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-quad-skates-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-quad-skates-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-quad-skates-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,en,871,"{""tag"":""img"",""line"":871,""alt"":""Skateboard for rent at RSB in Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""360"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-skateboard-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-skateboard-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-skateboard-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,en,899,"{""tag"":""img"",""line"":899,""alt"":""Longboard for rent at RSB in Vila Olímpica, Barcelona"",""decoding"":""async"",""height"":""478"",""loading"":""lazy"",""sizes"":""(max-width: 640px) 92vw, (max-width: 1024px) 44vw, 420px"",""src"":""https://rentalscooterbarcelona.com/images/rsb-longboard-rental-barcelona-vila-olimpica-800.webp"",""srcset"":""https://rentalscooterbarcelona.com/images/rsb-longboard-rental-barcelona-vila-olimpica-480.webp 480w, https://rentalscooterbarcelona.com/images/rsb-longboard-rental-barcelona-vila-olimpica-800.webp 800w"",""width"":""800""}"
HOME,en,1157,"{""tag"":""img"",""line"":1157,""alt"":""Person carrying inline skates near Vila Olímpica, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/9.webp"",""width"":""800""}"
HOME,en,1158,"{""tag"":""img"",""line"":1158,""alt"":""Longboards and helmets displayed inside the RSB shop in Vila Olímpica, Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/skateboards-rental-barcelona.webp"",""width"":""800""}"
HOME,en,1159,"{""tag"":""img"",""line"":1159,""alt"":""125cc scooter delivery by RSB in Barcelona"",""height"":""600"",""loading"":""lazy"",""src"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-scooter-barcelona.webp"",""width"":""800""}"
