grupo,idioma,ruta_zip,ruta_local_auditada,bytes,lineas,sha256,html_lang,canonical,leido_completo
HOME,en,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/en/index.html,99733,1349,8c5d21e348d400d75c21452ae69f28b3edd96e32a6f068325c197927475790ac,en,https://rentalscooterbarcelona.com/,"{""bytes_read"":99733,""characters"":99588,""sha256"":""8c5d21e348d400d75c21452ae69f28b3edd96e32a6f068325c197927475790ac"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
HOME,es,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/es/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/es/index.html,93791,1290,69ab90fdd158968ed4e5172fc7097f02010eec4d6544968478f4bff55942310f,es,https://rentalscooterbarcelona.com/es/,"{""bytes_read"":93791,""characters"":93380,""sha256"":""69ab90fdd158968ed4e5172fc7097f02010eec4d6544968478f4bff55942310f"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
HOME,fr,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/fr/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/fr/index.html,94612,1283,89cc3119cf7e272c79fe4a8c0a7c16bc9d204fbace473745c24f7c3f3974fc45,fr,https://rentalscooterbarcelona.com/fr/,"{""bytes_read"":94612,""characters"":93974,""sha256"":""89cc3119cf7e272c79fe4a8c0a7c16bc9d204fbace473745c24f7c3f3974fc45"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
HOME,it,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/it/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/it/index.html,92913,1290,4d9499cb3d21da40b86753d1006122c6dfac56a7082f343a080310b4bf983950,it,https://rentalscooterbarcelona.com/it/,"{""bytes_read"":92913,""characters"":92659,""sha256"":""4d9499cb3d21da40b86753d1006122c6dfac56a7082f343a080310b4bf983950"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
HOME,de,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/de/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/de/index.html,93653,1297,c2d621aba88b8a19d8b2662b6428800a3722947e192ad43f50a581e2c0260d9b,de,https://rentalscooterbarcelona.com/de/,"{""bytes_read"":93653,""characters"":93293,""sha256"":""c2d621aba88b8a19d8b2662b6428800a3722947e192ad43f50a581e2c0260d9b"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
HOME,nl,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/nl/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/nl/index.html,92715,1311,4faddcd800a8f8f9ebe1f8bfad581ddcd8704fe17afe5693e1e8d4d439f4b726,nl,https://rentalscooterbarcelona.com/nl/,"{""bytes_read"":92715,""characters"":92539,""sha256"":""4faddcd800a8f8f9ebe1f8bfad581ddcd8704fe17afe5693e1e8d4d439f4b726"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
HOME,pt,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/pt/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/pt/index.html,93310,1317,fd88c6da82013dad760497d1dcadefa91b4ef64a9f7984b66b4d0d09f8c5ad7b,pt-PT,https://rentalscooterbarcelona.com/pt/,"{""bytes_read"":93310,""characters"":92904,""sha256"":""fd88c6da82013dad760497d1dcadefa91b4ef64a9f7984b66b4d0d09f8c5ad7b"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
HOME,ca,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/cat/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/ca/index.html,94387,1302,d58b5796bae731b8a8f06a2cb69811063f26e3c5140b2cefc0530231922ae3b0,ca,https://rentalscooterbarcelona.com/cat/,"{""bytes_read"":94387,""characters"":93882,""sha256"":""d58b5796bae731b8a8f06a2cb69811063f26e3c5140b2cefc0530231922ae3b0"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
HOME,sv,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/sv/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/sv/index.html,92883,1310,e95dfcc440d4aebf5018bcd8f78f673f2a709e9d4afa7f87b8f386a0b8c8f0dc,sv,https://rentalscooterbarcelona.com/sv/,"{""bytes_read"":92883,""characters"":92339,""sha256"":""e95dfcc440d4aebf5018bcd8f78f673f2a709e9d4afa7f87b8f386a0b8c8f0dc"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
HOME,pl,RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)(4)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/RSB_01_HOME_CORREGIDO_FINAL_VALIDATOR_FIXED(2)/pl/index.html,/workspace/scratch/c622681b5d26/audit_work/source/HOME/pl/index.html,92841,1298,1126230d6f8652114c2f6403373f83545694ac414475356ed3bba3c4827fe13a,pl,https://rentalscooterbarcelona.com/pl/,"{""bytes_read"":92841,""characters"":92236,""sha256"":""1126230d6f8652114c2f6403373f83545694ac414475356ed3bba3c4827fe13a"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,en,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/en/index.html,104389,1687,c06a02bf0dd31f8caa2bd404b024d758e4c139c791196c87b2ef3d3205493579,en,https://rentalscooterbarcelona.com/Prices/,"{""bytes_read"":104389,""characters"":104161,""sha256"":""c06a02bf0dd31f8caa2bd404b024d758e4c139c791196c87b2ef3d3205493579"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,es,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/es/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/es/index.html,107480,1667,027bacad6c0cdff172b30bd16167c403976c7b9e283c2dd9cfd91012796fa6cc,es,https://rentalscooterbarcelona.com/es/Prices/,"{""bytes_read"":107480,""characters"":107042,""sha256"":""027bacad6c0cdff172b30bd16167c403976c7b9e283c2dd9cfd91012796fa6cc"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,fr,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/fr/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/fr/index.html,109212,1650,9eb0d5b422bde8f51c7a9f244cfd1cce16d9e9ccb625534c16f1b3cbce8f34df,fr,https://rentalscooterbarcelona.com/fr/Prices/,"{""bytes_read"":109212,""characters"":108489,""sha256"":""9eb0d5b422bde8f51c7a9f244cfd1cce16d9e9ccb625534c16f1b3cbce8f34df"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,it,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/it/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/it/index.html,108144,1657,9754fe138cade1d8c01f7823dc3d9e65282b835e910a598b59bf8d5d8b5fec2c,it,https://rentalscooterbarcelona.com/it/Prices/,"{""bytes_read"":108144,""characters"":107860,""sha256"":""9754fe138cade1d8c01f7823dc3d9e65282b835e910a598b59bf8d5d8b5fec2c"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,de,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/de/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/de/index.html,107476,1674,4b8388f9fb08d3363f95d89eaaaf297067ce9e280a3e3f3a3ba63e4e62ff233a,de,https://rentalscooterbarcelona.com/de/Prices/,"{""bytes_read"":107476,""characters"":107057,""sha256"":""4b8388f9fb08d3363f95d89eaaaf297067ce9e280a3e3f3a3ba63e4e62ff233a"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,nl,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/nl/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/nl/index.html,106554,1686,006d505c457e59fdf789501ff714b8bb4b2df973687a69a3984ebb9de4186c1e,nl,https://rentalscooterbarcelona.com/nl/Prices/,"{""bytes_read"":106554,""characters"":106326,""sha256"":""006d505c457e59fdf789501ff714b8bb4b2df973687a69a3984ebb9de4186c1e"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,pt,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/pt/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/pt/index.html,108176,1682,e0d31ffaca4b400bba32df27434cc59969aa15cddd31fcb1353ca177f1578932,pt,https://rentalscooterbarcelona.com/pt/Prices/,"{""bytes_read"":108176,""characters"":107646,""sha256"":""e0d31ffaca4b400bba32df27434cc59969aa15cddd31fcb1353ca177f1578932"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,ca,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/cat/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/ca/index.html,108741,1669,e4fd7950617972ea18dfadc58ca5fe3478f4e7a824d05d0f947bc879c7abb07f,ca,https://rentalscooterbarcelona.com/cat/Prices/,"{""bytes_read"":108741,""characters"":108276,""sha256"":""e4fd7950617972ea18dfadc58ca5fe3478f4e7a824d05d0f947bc879c7abb07f"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,sv,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/sv/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/sv/index.html,106467,1674,5b2510991ab922f59f4e3f19d69926cfe0390984445127c0a41dddf1ea1f7af5,sv,https://rentalscooterbarcelona.com/sv/Prices/,"{""bytes_read"":106467,""characters"":105874,""sha256"":""5b2510991ab922f59f4e3f19d69926cfe0390984445127c0a41dddf1ea1f7af5"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
PRICES,pl,RSB_PRICES_PT_PUNTOS_14_15_16_17_18_CORREGIDO(3)(4)/pl/Prices/index.html,/workspace/scratch/c622681b5d26/audit_work/source/PRICES/pl/index.html,105765,1682,d7cd0f48fe0faae38982f21dcb270c4a31c6c1518bae3d0588c1a94827cc6153,pl,https://rentalscooterbarcelona.com/pl/Prices/,"{""bytes_read"":105765,""characters"":105050,""sha256"":""d7cd0f48fe0faae38982f21dcb270c4a31c6c1518bae3d0588c1a94827cc6153"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,en,SCOOTER-main (1)(1)/SCOOTER-main/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/en/index.html,75110,1314,ba138ae5221694e86ad860624e7421f4485c53c2157af3dee423c4024d77cce2,en,https://rentalscooterbarcelona.com/scooter/,"{""bytes_read"":75110,""characters"":74899,""sha256"":""ba138ae5221694e86ad860624e7421f4485c53c2157af3dee423c4024d77cce2"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,es,SCOOTER-main (1)(1)/SCOOTER-main/es/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/es/index.html,76646,1272,f65eb76170abc6e02ae2fdec0a8e648c9e740ce6bf447f4337c51d5416c01ee3,es,https://rentalscooterbarcelona.com/es/scooter/,"{""bytes_read"":76646,""characters"":76209,""sha256"":""f65eb76170abc6e02ae2fdec0a8e648c9e740ce6bf447f4337c51d5416c01ee3"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,fr,SCOOTER-main (1)(1)/SCOOTER-main/fr/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/fr/index.html,75713,1165,ca5bf1e7c7954892ea93eb5acc938d92dd4263faf6a0612fbcc7b917ec9f3d91,fr,https://rentalscooterbarcelona.com/fr/scooter/,"{""bytes_read"":75713,""characters"":75052,""sha256"":""ca5bf1e7c7954892ea93eb5acc938d92dd4263faf6a0612fbcc7b917ec9f3d91"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,it,SCOOTER-main (1)(1)/SCOOTER-main/it/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/it/index.html,74748,1174,1e64b01482db311f39a4bbf685c8935924c1707548ec387f1661e491abb8ff73,it,https://rentalscooterbarcelona.com/it/scooter/,"{""bytes_read"":74748,""characters"":74453,""sha256"":""1e64b01482db311f39a4bbf685c8935924c1707548ec387f1661e491abb8ff73"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,de,SCOOTER-main (1)(1)/SCOOTER-main/de/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/de/index.html,76157,1277,3f3c0ee126d19e43ef10e90b6092c2bb5209bbe40c1d57e27d30ed1ab0a1976a,de,https://rentalscooterbarcelona.com/de/scooter/,"{""bytes_read"":76157,""characters"":75729,""sha256"":""3f3c0ee126d19e43ef10e90b6092c2bb5209bbe40c1d57e27d30ed1ab0a1976a"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
SCOOTER,nl,SCOOTER-main (1)(1)/SCOOTER-main/nl/scooter/index.html,/workspace/scratch/c622681b5d26/audit_work/source/SCOOTER/nl/index.html,75095,1286,eaf1e1b9f6e74877bc28df54efc714b3a725bd371785bb52cf348f78aad44a19,nl,https://rentalscooterbarcelona.com/nl/scooter/,"{""bytes_read"":75095,""characters"":74886,""sha256"":""eaf1e1b9f6e74877bc28df54efc714b3a725bd371785bb52cf348f78aad44a19"",""htmlparser_fed_all"":true,""lxml_parsed_all"":true}"
