grupo,idioma,bloque,ruta,oferta_completa
PRICES,en,1,$.@graph[5].itemListElement[0].itemListElement[0],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""Full day"",""price"":""35"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/scooter/"",""itemOffered"":{""@type"":""Service"",""name"":""Scooter rental"",""serviceType"":""Scooter rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[0].itemListElement[1],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""24 hours"",""price"":""40"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/scooter/"",""itemOffered"":{""@type"":""Service"",""name"":""Scooter rental"",""serviceType"":""Scooter rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[0].itemListElement[2],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""2 days"",""price"":""80"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/scooter/"",""itemOffered"":{""@type"":""Service"",""name"":""Scooter rental"",""serviceType"":""Scooter rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[0].itemListElement[3],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""3 days"",""price"":""115"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/scooter/"",""itemOffered"":{""@type"":""Service"",""name"":""Scooter rental"",""serviceType"":""Scooter rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[0].itemListElement[4],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""Extra day"",""price"":""30"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/scooter/"",""itemOffered"":{""@type"":""Service"",""name"":""Scooter rental"",""serviceType"":""Scooter rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[1].itemListElement[0],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""1 hour"",""price"":""6"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/rollerblades/"",""itemOffered"":{""@type"":""Service"",""name"":""Inline skates rental"",""serviceType"":""Inline skates rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[1].itemListElement[1],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""2 hours"",""price"":""12"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/rollerblades/"",""itemOffered"":{""@type"":""Service"",""name"":""Inline skates rental"",""serviceType"":""Inline skates rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[1].itemListElement[2],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""3 hours"",""price"":""15"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/rollerblades/"",""itemOffered"":{""@type"":""Service"",""name"":""Inline skates rental"",""serviceType"":""Inline skates rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[1].itemListElement[3],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""Full day"",""price"":""18"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/rollerblades/"",""itemOffered"":{""@type"":""Service"",""name"":""Inline skates rental"",""serviceType"":""Inline skates rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[1].itemListElement[4],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""24 hours"",""price"":""20"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/rollerblades/"",""itemOffered"":{""@type"":""Service"",""name"":""Inline skates rental"",""serviceType"":""Inline skates rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[1].itemListElement[5],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""Extra day"",""price"":""10"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/rollerblades/"",""itemOffered"":{""@type"":""Service"",""name"":""Inline skates rental"",""serviceType"":""Inline skates rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[2].itemListElement[0],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""1 hour"",""price"":""6"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/quads/"",""itemOffered"":{""@type"":""Service"",""name"":""Roller skate rental"",""serviceType"":""Roller skate rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[2].itemListElement[1],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""2 hours"",""price"":""12"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/quads/"",""itemOffered"":{""@type"":""Service"",""name"":""Roller skate rental"",""serviceType"":""Roller skate rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[2].itemListElement[2],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""3 hours"",""price"":""15"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/quads/"",""itemOffered"":{""@type"":""Service"",""name"":""Roller skate rental"",""serviceType"":""Roller skate rental""},""availability"":""https://schema.org/InStock""}"
PRICES,en,1,$.@graph[5].itemListElement[2].itemListElement[3],"{""@type"":""Offer"",""businessFunction"":""http://purl.org/goodrelations/v1#LeaseOut"",""name"":""Full day"",""price"":""18"",""priceCurrency"":""EUR"",""url"":""https://rentalscooterbarcelona.com/quads/"",""itemOffered"":{""@type"":""Service"",""name"":""Roller skate rental"",""serviceType"":""Roller skate rental""},""availability"":""https://schema.org/InStock""}"
