grupo,idioma,linea,schema_completo,tarjeta_visible,autor_visible,texto_coincide,fecha_visible_si_schema
HOME,en,1213,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Michel new technology""},""datePublished"":""2020-09-24"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Very nice and funny the shop assistant. We will be coming again next year and will recommend it to all our friends and family. Thank you very much for the help, for the recommendations and for the pleasant kindness! good prices and good attendance.\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1213,""text"":""“Very nice and funny the shop assistant. We will be coming again next year and will recommend it to all our friends and family. Thank you very much for the help, for the recommendations and for the pleasant kindness! good prices and good attendance.” Michel new technology Google review 2020-09-24"",""links"":[]}",SÍ,SÍ,SÍ
HOME,en,1230,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""TheDoctorIsIn""},""datePublished"":""2018-10-11"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Quick and easy! Light on the paperwork, and open on Sundays. Bikes, scooters, skateboards, rollerblades. Small shop has it all!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1230,""text"":""“Quick and easy! Light on the paperwork, and open on Sundays. Bikes, scooters, skateboards, rollerblades. Small shop has it all!” TheDoctorIsIn Google review 2018-10-11"",""links"":[]}",SÍ,SÍ,SÍ
HOME,en,1247,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Jodie Alexander""},""datePublished"":""2017-01-27"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""The best place to rent rollerblades, a scooter or a bike. The owner is really friendly and helpful. In the beginning I rented rollerblades and afterwards I could always borrow the owner's longboard. It was an amazing experience and whenever I'm back in Barcelona or want to explore the city with friends I know where to be. Thank you for everything!\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1247,""text"":""“The best place to rent rollerblades, a scooter or a bike. The owner is really friendly and helpful. In the beginning I rented rollerblades and afterwards I could always borrow the owner's longboard. It was an amazing experience and whenever I'm back in Barcelona or want to explore the city with friends I know where to be. Thank you for everything!” Jodie Alexander Google review 2017-01-27"",""links"":[]}",SÍ,SÍ,SÍ
HOME,es,1204,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/es/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Diego Salerno""},""datePublished"":""2026-06-02"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Excelente experiencia no dudéis en venir, locales y turistas ❤️ un local de toda la vida que no falla\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1204,""text"":""★★★★★ “Excelente experiencia no dudéis en venir, locales y turistas ❤️ un local de toda la vida que no falla” Diego Salerno · Reseña de Google · 2026-06-02"",""links"":[]}",SÍ,SÍ,SÍ
HOME,es,1205,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/es/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Señor Piña""},""datePublished"":""2020-02-29"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""De todos los sitios donde he alquilado este es el mejor con mucha diferencia, tanto por trato, material y precios. Sin duda cuando vuelva a Barcelona volveré allí :)\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1205,""text"":""★★★★★ “De todos los sitios donde he alquilado este es el mejor con mucha diferencia, tanto por trato, material y precios. Sin duda cuando vuelva a Barcelona volveré allí :)” Señor Piña · Reseña de Google · 2020-02-29"",""links"":[]}",SÍ,SÍ,SÍ
HOME,es,1206,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/es/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Claudia Montes""},""datePublished"":""2021-04-12"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Excelente servicio, además está al lado del paseo marítimo, si quieres disfrutar Barcelona en ruedas aquí encuentras bicis, patines, patinetas, scooters. Tamnbien tienen patines y bicis para niños.\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1206,""text"":""★★★★★ “Excelente servicio, además está al lado del paseo marítimo, si quieres disfrutar Barcelona en ruedas aquí encuentras bicis, patines, patinetas, scooters. Tamnbien tienen patines y bicis para niños.” Claudia Montes · Reseña de Google · 2021-04-12"",""links"":[]}",SÍ,SÍ,SÍ
HOME,fr,1197,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/fr/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Franck HERENCIA""},""datePublished"":""2022-06-05"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""J’ai loué un scooter 125 cc pour 2 jours avec ma copine et je recommande très clairement Rental Scooter Barcelona ! Très sérieux, agréable, prix honnête, très bonne expérience ! Je reviendrais sans hésiter !\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1197,""text"":""★★★★★ “J’ai loué un scooter 125 cc pour 2 jours avec ma copine et je recommande très clairement Rental Scooter Barcelona ! Très sérieux, agréable, prix honnête, très bonne expérience ! Je reviendrais sans hésiter !” Franck HERENCIA · Avis Google · 2022-06-05"",""links"":[]}",SÍ,SÍ,SÍ
HOME,fr,1198,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/fr/#google-review-2"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Boumedien el bouazzaoui""},""datePublished"":""2019-12-23"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Bon rapport qualité/prix.Nous avons eu à faire à une dame très très sympathique. À refaire\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1198,""text"":""★★★★★ “Bon rapport qualité/prix.Nous avons eu à faire à une dame très très sympathique. À refaire” Boumedien el bouazzaoui · Avis Google · 2019-12-23"",""links"":[]}",SÍ,SÍ,SÍ
HOME,fr,1199,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/fr/#google-review-3"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Anirbas Anirbas""},""datePublished"":""2023-09-10"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Nous avons pris des rollers là-bas, Je conseille sans parler du vendeur qui était d’une gentillesse merci à lui\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1199,""text"":""★★★★★ “Nous avons pris des rollers là-bas, Je conseille sans parler du vendeur qui était d’une gentillesse merci à lui” Anirbas Anirbas · Avis Google · 2023-09-10"",""links"":[]}",SÍ,SÍ,SÍ
HOME,it,1202,"{""@type"":""Review"",""@id"":""https://rentalscooterbarcelona.com/it/#google-review-1"",""itemReviewed"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""author"":{""@type"":""Person"",""name"":""Y""},""datePublished"":""2021-08-30"",""reviewRating"":{""@type"":""Rating"",""ratingValue"":5,""bestRating"":5,""worstRating"":1},""reviewBody"":""\""Tutto bene\"""",""publisher"":{""@type"":""Organization"",""name"":""Google""}}","{""line"":1202,""text"":""★★★★★ “Tutto bene” Y · Recensione Google · 2021-08-30"",""links"":[]}",SÍ,SÍ,SÍ
