grupo,idioma,bloque,ruta_json,tipo,id,url,entidad_completa
HOME,en,1,$.@graph[0],Organization,https://rentalscooterbarcelona.com/#organization,https://rentalscooterbarcelona.com/,"{""@type"":""Organization"",""@id"":""https://rentalscooterbarcelona.com/#organization"",""name"":""RSB Rental Scooter Barcelona"",""alternateName"":""RSB"",""url"":""https://rentalscooterbarcelona.com/"",""logo"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-140-v1.webp"",""image"":""https://rentalscooterbarcelona.com/images/rsb-rental-scooter-barcelona-shop-vila-olimpica.webp"",""sameAs"":[""https://www.facebook.com/rentalscooterbarcelona"",""https://www.instagram.com/rentalscooterbarcelona/"",""https://x.com/RSBscooterbarce"",""https://es.pinterest.com/rsbscooter/"",""https://www.tripadvisor.es/Attraction_Review-g187497-d7708978-Reviews-Rental_Scooter_Barcelona-Barcelona_Catalonia.html"",""https://www.google.com/maps?cid=912877649802486634"",""https://maps.apple.com/place?place-id=IA5C7938C1925731A&address=Carrer+de+Salvador+Espriu%2C+63%2C+08005+Barcelona%2C+Espa%C3%B1a&coordinate=41.3906488%2C2.1984312&name=Rental+Scooter&_provider=9902"",""https://www.bing.com/maps/search?style=r&q=RSB+Rental+Scooter+Barcelona%2C+Calle+de+Salvador+Espriu+63%2C+08005+Barcelona%2C+Catalu%C3%B1a%2C+Espa%C3%B1a&ss=id.local_ypid%3A%22YND84466019C726C1%22""],""description"":""Local rental shop in Vila Olímpica del Poblenou, Barcelona, offering scooter, inline skate, bike, roller skates, skateboard and longboard rentals near Barceloneta and Port Olímpic."",""telephone"":""+34 640 559 468"",""email"":""info@rentalscooterbarcelona.com"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Carrer de Salvador Espriu, 63"",""addressLocality"":""Barcelona"",""addressRegion"":""Catalonia"",""postalCode"":""08005"",""addressCountry"":""ES""},""contactPoint"":[{""@type"":""ContactPoint"",""telephone"":""+34 640 559 468"",""email"":""info@rentalscooterbarcelona.com"",""contactType"":""customer service"",""areaServed"":""ES"",""availableLanguage"":[""en"",""es"",""ca"",""fr"",""it"",""de"",""nl"",""pt"",""sv"",""pl""]},{""@type"":""ContactPoint"",""telephone"":""+34 640 559 468"",""email"":""info@rentalscooterbarcelona.com"",""contactType"":""booking"",""areaServed"":""ES"",""availableLanguage"":[""en"",""es"",""ca"",""fr"",""it"",""de"",""nl"",""pt"",""sv"",""pl""]}]}"
HOME,en,1,$.@graph[0].address,PostalAddress,AUSENTE,AUSENTE,"{""@type"":""PostalAddress"",""streetAddress"":""Carrer de Salvador Espriu, 63"",""addressLocality"":""Barcelona"",""addressRegion"":""Catalonia"",""postalCode"":""08005"",""addressCountry"":""ES""}"
HOME,en,1,$.@graph[0].contactPoint[0],ContactPoint,AUSENTE,AUSENTE,"{""@type"":""ContactPoint"",""telephone"":""+34 640 559 468"",""email"":""info@rentalscooterbarcelona.com"",""contactType"":""customer service"",""areaServed"":""ES"",""availableLanguage"":[""en"",""es"",""ca"",""fr"",""it"",""de"",""nl"",""pt"",""sv"",""pl""]}"
HOME,en,1,$.@graph[0].contactPoint[1],ContactPoint,AUSENTE,AUSENTE,"{""@type"":""ContactPoint"",""telephone"":""+34 640 559 468"",""email"":""info@rentalscooterbarcelona.com"",""contactType"":""booking"",""areaServed"":""ES"",""availableLanguage"":[""en"",""es"",""ca"",""fr"",""it"",""de"",""nl"",""pt"",""sv"",""pl""]}"
HOME,en,1,$.@graph[1],WebSite,https://rentalscooterbarcelona.com/#website,https://rentalscooterbarcelona.com/,"{""@type"":""WebSite"",""@id"":""https://rentalscooterbarcelona.com/#website"",""url"":""https://rentalscooterbarcelona.com/"",""name"":""RSB Rental Scooter Barcelona"",""inLanguage"":""en"",""publisher"":{""@id"":""https://rentalscooterbarcelona.com/#organization""}}"
HOME,en,1,$.@graph[2],WebPage,https://rentalscooterbarcelona.com/#webpage,https://rentalscooterbarcelona.com/,"{""@type"":""WebPage"",""@id"":""https://rentalscooterbarcelona.com/#webpage"",""url"":""https://rentalscooterbarcelona.com/"",""name"":""Scooter Rental, Inline Skates & Bike Rental in Barcelona | RSB"",""isPartOf"":{""@id"":""https://rentalscooterbarcelona.com/#website""},""about"":{""@id"":""https://rentalscooterbarcelona.com/#business""},""inLanguage"":""en"",""description"":""Rent scooters, inline skates and bikes in Barcelona from our Vila Olímpica shop. No deposit for skates and boards; free scooter hotel delivery for 3+ days."",""primaryImageOfPage"":{""@type"":""ImageObject"",""url"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp""},""mainEntity"":[{""@id"":""https://rentalscooterbarcelona.com/#service-list""},{""@id"":""https://rentalscooterbarcelona.com/#faq""}],""publisher"":{""@id"":""https://rentalscooterbarcelona.com/#organization""},""potentialAction"":{""@type"":""CommunicateAction"",""name"":""WhatsApp booking"",""target"":""https://wa.me/34640559468?text=Hello%20RSB%2C%20I%20would%20like%20to%20book%20a%20rental%20in%20Barcelona.""},""breadcrumb"":{""@id"":""https://rentalscooterbarcelona.com/#breadcrumb""}}"
HOME,en,1,$.@graph[2].primaryImageOfPage,ImageObject,AUSENTE,https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp,"{""@type"":""ImageObject"",""url"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-hero-group-beach-1600-v1.webp""}"
HOME,en,1,$.@graph[2].potentialAction,CommunicateAction,AUSENTE,AUSENTE,"{""@type"":""CommunicateAction"",""name"":""WhatsApp booking"",""target"":""https://wa.me/34640559468?text=Hello%20RSB%2C%20I%20would%20like%20to%20book%20a%20rental%20in%20Barcelona.""}"
HOME,en,1,$.@graph[3],LocalBusiness,https://rentalscooterbarcelona.com/#business,https://rentalscooterbarcelona.com/,"{""@type"":""LocalBusiness"",""@id"":""https://rentalscooterbarcelona.com/#business"",""name"":""RSB Rental Scooter Barcelona"",""alternateName"":""RSB"",""url"":""https://rentalscooterbarcelona.com/"",""description"":""Local rental shop in Vila Olímpica del Poblenou, Barcelona, offering scooter, inline skate, bike, roller skates, skateboard and longboard rentals near Barceloneta and Port Olímpic."",""image"":[""https://rentalscooterbarcelona.com/images/rsb-rental-scooter-barcelona-shop-vila-olimpica.webp"",""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-shop-interior-inline-skates-bike-vila-olimpica-1200.webp""],""logo"":""https://rentalscooterbarcelona.com/images/rsb-barcelona-rental-logo-2-140-v1.webp"",""telephone"":""+34 640 559 468"",""email"":""info@rentalscooterbarcelona.com"",""priceRange"":""€4–€115"",""paymentAccepted"":""Credit Card, Debit Card, PayPal"",""currenciesAccepted"":""EUR"",""address"":{""@type"":""PostalAddress"",""streetAddress"":""Carrer de Salvador Espriu, 63"",""addressLocality"":""Barcelona"",""addressRegion"":""Catalonia"",""postalCode"":""08005"",""addressCountry"":""ES""},""geo"":{""@type"":""GeoCoordinates"",""latitude"":41.3906488,""longitude"":2.1984312},""hasMap"":""https://www.google.com/maps?cid=912877649802486634"",""areaServed"":[{""@type"":""City"",""name"":""Barcelona""},{""@type"":""Place"",""name"":""Vila Olímpica del Poblenou""},{""@type"":""Place"",""name"":""Port Olímpic""},{""@type"":""Place"",""name"":""Barceloneta Beach""}],""openingHoursSpecification"":[{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""],""opens"":""10:30"",""closes"":""13:30""},{""@type"":""OpeningHoursSpecification"",""dayOfWeek"":[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""],""opens"":""16:30"",""closes"":""20:00""}],""contactPoint"":[{""@type"":""ContactPoint"",""telephone"":""+34 640 559 468"",""email"":""info@rentalscooterbarcelona.com"",""contactType"":""customer service"",""areaServed"":""ES"",""availableLanguage"":[""en"",""es"",""ca"",""fr"",""it"",""de"",""nl"",""pt"",""sv"",""pl""]},{""@type"":""ContactPoint"",""telephone"":""+34 640 559 468"",""email"":""info@rentalscooterbarcelona.com"",""contactType"":""booking"",""areaServed"":""ES"",""availableLanguage"":[""en"",""es"",""ca"",""fr"",""it"",""de"",""nl"",""pt"",""sv"",""pl""]}],""sameAs"":[""https://www.facebook.com/rentalscooterbarcelona"",""https://www.instagram.com/rentalscooterbarcelona/"",""https://x.com/RSBscooterbarce"",""https://es.pinterest.com/rsbscooter/"",""https://www.tripadvisor.es/Attraction_Review-g187497-d7708978-Reviews-Rental_Scooter_Barcelona-Barcelona_Catalonia.html"",""https://www.google.com/maps?cid=912877649802486634"",""https://maps.apple.com/place?place-id=IA5C7938C1925731A&address=Carrer+de+Salvador+Espriu%2C+63%2C+08005+Barcelona%2C+Espa%C3%B1a&coordinate=41.3906488%2C2.1984312&name=Rental+Scooter&_provider=9902"",""https://www.bing.com/maps/search?style=r&q=RSB+Rental+Scooter+Barcelona%2C+Calle+de+Salvador+Espriu+63%2C+08005+Barcelona%2C+Catalu%C3%B1a%2C+Espa%C3%B1a&ss=id.local_ypid%3A%22YND84466019C726C1%22""],""brand"":{""@id"":""https://rentalscooterbarcelona.com/#organization""}}"
HOME,en,1,$.@graph[3].address,PostalAddress,AUSENTE,AUSENTE,"{""@type"":""PostalAddress"",""streetAddress"":""Carrer de Salvador Espriu, 63"",""addressLocality"":""Barcelona"",""addressRegion"":""Catalonia"",""postalCode"":""08005"",""addressCountry"":""ES""}"
