prioridad,punto,gravedad,pagina,idioma,ruta,elemento,actual,propuesta,estado,evidencia
1,U01,MEDIO,10_BLOG_HOME,ca,PAGINAS/10_BLOG_HOME/cat/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 70, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 224, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,10_BLOG_HOME,de,PAGINAS/10_BLOG_HOME/de/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 68, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 222, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,10_BLOG_HOME,en,PAGINAS/10_BLOG_HOME/en/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 81, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 272, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,10_BLOG_HOME,es,PAGINAS/10_BLOG_HOME/es/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 78, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 270, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,10_BLOG_HOME,fr,PAGINAS/10_BLOG_HOME/fr/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 71, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 225, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,10_BLOG_HOME,it,PAGINAS/10_BLOG_HOME/it/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 70, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 224, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,10_BLOG_HOME,nl,PAGINAS/10_BLOG_HOME/nl/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 81, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 235, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,10_BLOG_HOME,pl,PAGINAS/10_BLOG_HOME/pl/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 81, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 272, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,10_BLOG_HOME,pt,PAGINAS/10_BLOG_HOME/pt/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 81, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 235, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,10_BLOG_HOME,sv,PAGINAS/10_BLOG_HOME/sv/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 81, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 235, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,12_BLOG_BEGINNER_INLINE_SKATING,ca,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/cat/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 121, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 312, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,12_BLOG_BEGINNER_INLINE_SKATING,de,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/de/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 121, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 312, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,12_BLOG_BEGINNER_INLINE_SKATING,en,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/en/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 121, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 312, ""code"": ""coordinate=41.390577%2C2.198362""}]"
1,U01,MEDIO,12_BLOG_BEGINNER_INLINE_SKATING,es,PAGINAS/12_BLOG_BEGINNER_INLINE_SKATING/es/index.html,Organization.sameAs / LocalBusiness.sameAs,coordinate=41.390577%2C2.198362,coordinate=41.3906488%2C2.1984312,CORRECCIÓN DEFINIDA,"[{""line"": 118, ""code"": ""coordinate=41.390577%2C2.198362""}, {""line"": 269, ""code"": ""coordinate=41.390577%2C2.198362""}]"
