pagina,idioma,ruta,actual,decision,evidencia
03_SCOOTER,ca,PAGINAS/03_SCOOTER/cat/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 147, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 529, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
03_SCOOTER,de,PAGINAS/03_SCOOTER/de/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 187, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 576, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
03_SCOOTER,en,PAGINAS/03_SCOOTER/en/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 219, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 641, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
03_SCOOTER,es,PAGINAS/03_SCOOTER/es/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 216, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 635, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
03_SCOOTER,fr,PAGINAS/03_SCOOTER/fr/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 148, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 530, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
03_SCOOTER,it,PAGINAS/03_SCOOTER/it/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 147, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 529, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
03_SCOOTER,nl,PAGINAS/03_SCOOTER/nl/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 200, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 585, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
03_SCOOTER,pl,PAGINAS/03_SCOOTER/pl/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 180, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 602, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
03_SCOOTER,pt,PAGINAS/03_SCOOTER/pt/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 161, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 554, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
03_SCOOTER,sv,PAGINAS/03_SCOOTER/sv/index.html,2026-07-30 / 2026-08-24,"Una sola fecha de última modificación real, pendiente de fuente canónica.","[{""line"": 161, ""code"": ""\""dateModified\"": \""2026-07-30\"""", ""value"": ""2026-07-30""}, {""line"": 546, ""code"": ""\""dateModified\"": \""2026-08-24\"""", ""value"": ""2026-08-24""}]"
